,phone
1,+351211392617
2,+351961624027
3,+351 961 624 027
4,+351 211 392 617
5,+351 213 303 723
6,+385 1 6503
7,+351217580736
8,+351 218 640 637
9,+353 1 4987370
10,+351218437450
11,+351 253 203 180
12,+351 253 203 190
13,+351913596668
14,+351 913 596 668
15,+351214567165
16,+351 218 533 738
17,+351214847480
18,+351 252 327 762
19,+351252327762
20,+351 253 420 000
21,+5491157242971
22,+57 315 345 7465
23,+57 313 887 1618
24,+351217214000
25,+351 253 609 460
26,+351 253 609 465
27,+351 218 454 220
28,+351 21 793
29,+34 93 872 04 22
30,+353 1 498 7370
31,+353 1 4562 454
32,+36 30 1977742
33,+353 1 6917879
34,+35314562454
35,+213239200
36,+351213239200
37,+34 93 594 47 67
38,+351244845030
39,+351 244 845 030
40,+351 91 711 00 00
41,+351217543085
42,+351 916309982
43,+351 210 900 500
44,+558532811085
