,email
1,geral@aespelhadoradefanzeres.com
2,pmedicinal@sapo.pt
3,shesi@vizzavi.pt
4,alojadocolchao@oninet.pt
5,geral@academiadeestudotrofa.com
6,afrei@afreiscunha.com
7,afbarbosa.geral@afbarbosa.com
8,geral@abiseladoradonorte.com
9,physio.areosa@physiopharma.com
10,6only@6only.pt
11,geral@amarisqueiradematosinhos.com
12,robert@broofa.com
13,mnsr@imc-ip.pt
14,galeria@poramoraartegaleria.com
15,mni@museudaimprensa.pt
16,geral@galeriapresenca.pt
17,dmpc@cm-porto.pt
18,cpimentel@stcp.pt
19,guerrajunqueiro@cm-porto.pt
20,galeria@quadradoazul.pt
21,galgblx@mail.telepac.pt
22,mail@cpf.dgarq.gov.pt
23,geral@mateusmartins.com
24,info@adegavilareal.com
25,geral@anceve.pt
26,garrafeira_carmo@hotmail.com
27,info@mail.cvrvv.pt
28,cavescasalinho@mail.telepac.pt
29,info@hortidouro.com
30,fernandes.cruz.silva@gmail.com
31,coimbrademattos@mail.telepac.pt
32,astaregia@mail.telepac.pt
33,duasnacoes@mail.telepac.pt
34,hotelsaojose@hotelsjose.pt
35,geral@hoteldelrei.com
36,alb.miradouro@net.vodafone.pt
37,reservas@casabranca.com
38,345guesthouse@mail.telepac.pt
39,casadopoema@hotmail.com
40,reservas@hotelbrasilia.com.pt
41,geral@residencialvisconde.com
42,reservas@axisporto.com
43,geral@portotrindadehotel.com
44,luismontenegro@clix.pt
45,info@hospvetporto.pt
46,cvcircunvalacao@gmail.com
47,gomesme_meting@sapo.pt
48,a.pedro.oli@clix.pt
49,geral@orniex.com
50,mario_aquario@mail.pt
51,seabrapedro@hotmail.com
52,geral@clivetmatosinhos.com
53,demiarelatirpormais@gmail.com
54,quadazul@esoterica.pt
55,crat@mail.telepac.pt
56,acpaes@vizzavi.pt
57,rsouto@iol.pt
58,galeriamonicapereira@zmail.pt
59,loja@antiguidadesserralves.com
60,reginapin@gmail.com
61,joao_lagoa@clix.pt
62,cordeirosgaleria@mail.telepac.pt
63,info@arthobler.com
64,dmiguel@vianw.pt
65,joaomouramartins@hotmail.com
66,geral@ogatinho.pt
67,info@babydetails.pt
68,geral@novainiciativa.pt
69,ext.letrinhas2010@hotmail.com
70,geral@brincareinventar.pt
71,secretaria@chapeudepalha.pt
72,mundodosmosqueteiros@gmail.com
73,petitpatapon@petitpatapon.com
74,geral@dourocabe.pt
75,anateresaestetica@gmail.com
76,fatimaVGsousa@gmail.com
77,bodyessence@sapo.pt
78,imacaes@netcabo.pt
79,porto@cen.pt
80,geral@fatimaviana.pt
81,estetis@sapo.pt
82,geral@carlamoreira.com
83,alcadofrontal@oninet.pt
84,fmvitraisartisticos@mail.telepac.pt
85,luisfilipemoveis@gmail.com
86,info@moveistropical.com
87,info@lojadogatopreto.pt
88,geral@mariaodetecastrointeriores.com
89,contato@ateliecolorart.com.br
90,geral@aniziaflorista.com
91,geral@porencanto.pt
92,bonappetitporto@gmail.com
93,celeirosdosconegos@sapo.pt
94,duartespirotecnia@gmail.com
95,info@quintadefrancelos.pt
96,geral@decatilum.pt
97,info@gabba.pt
98,ogrupo5sentidos@gmail.com
99,info@quintadacorredoura.com
100,geral@ducadojoias.com
101,info@cientificomedica.pt
102,geral@drogariadomeiral.com
103,pcr@reico.pt
104,bibliotecamusical@mail.telepac.pt
105,civil@mail.telepac.pt
106,info@quimbarreiros.pt
107,comercial@tamponato.eu
108,geral@controsol.pt
109,estoressilvapinto@sapo.pt
110,geral@mouravilaca.com
111,geral@verdusca.net
112,arciosantoslda@gmail.com
113,geral@japonor.com
114,estores-j.machado@mail-telepac.pt
115,geral@tecnilouro.com
116,secretaria.cnsc@gmail.com
117,codigonorma@codigonorma.pt
118,academia@academiapedrosousa.com
119,geral@cadernodecasa.com
120,contact@academialooking.com
121,geral@eccarvalhido.com
122,alecrim@ciura.pt
123,verdelinho.florista@sapo.pt
124,artefloralsantarita@mail.telepac.pt
125,geral@lilianaeserodio.com
126,floresdejoaquimsantos@gmail.com
127,geral@manuelcostaferreira.com
128,gondovidro@hotmail.com
129,geral@boladefios.pt
130,mezzahotel@sapo.pt
131,freixo@moveistm.com
132,geral@tudopan.com
133,cor@coriprint.pt
134,geral@alfredocardoso.pt
135,geral@tecniqueima.com
136,mail@fozvelha.com
137,geral@cervejariagaliza.com
138,geral@gambamar.pt
139,caferibeirinhas@gmail.com
140,geral@casa-agricula.com
141,di_mare@sapo.pt
142,restaurantepurapaixao@gmail.com
143,bonaparte.porto@gmail.com
144,joanabaptista@hotmail.com
145,rp.b.almeida@gmail.com
146,petercafesport@gmail.com
147,rp@bazaar.com.pt
148,moderator@trintaeum.com
149,marcacoes@clinicaorientalessence.com
150,cirugiaplastica@cirugiaplastica.com.pt
151,porto@biothecareestetika.com
152,recepcao@clinicabemestar.com
153,ferroquente24@gmail.com
154,cspnsajuda@mail.telepac.pt
155,ji.csnsrasocorro@escolas.min-edu.pt
156,lar-santa-rita@hotmail.com
157,trindadepinto@net.novis.pt
158,geral@chavessenhoradahora.com
159,geral@donasdecasadesesperadas.pt
160,casanovaramaldefuneraria@sapo.pt
161,info@arkis.pt
162,info@inkart4x4.com
163,info@apoloporto.com
164,geral@canedoviagens.com
165,clubopo@clubtour.pt
