,email
1,email@exemplo.pt
2,rgpd@dgaj.mj.pt
3,encarregado.protecao.dados.mj@dgpj.mj.pt
4,pinhel.judicial@tribunais.org.pt
5,tondela.ministeriopublico@tribunais.org.pt
6,moncao.ministeriopublico@tribunais.org.pt
7,mdouro.ministeriopublico@tribunais.org.pt
8,entronc.ministeriopublico@tribunais.org.pt
9,vncerveira.ministeriopublico@tribunais.org.pt
10,evora.ministeriopublico@tribunais.org.pt
11,abrantes.ministeriopublico@tribunais.org.pt
12,fundao.judicial@tribunais.org.pt
13,sabrosa@tribunais.org.pt
14,albvelha.ministeriopublico@tribunais.org.pt
15,ovar.execucao@tribunais.org.pt
16,gondomar.familia@tribunais.org.pt
17,entronc.judicial@tribunais.org.pt
18,aveiro.taf@tribunais.org.pt
19,matosinhos.ministeriopublico@tribunais.org.pt
20,porto.familia@tribunais.org.pt
21,tavira.ministeriopublico@tribunais.org.pt
22,beja.familia.ministeriopublico@tribunais.org.pt
23,porto.bni@tribunais.org.pt
24,montalegre.judicial@tribunais.org.pt
25,margrande.ministeriopublico@tribunais.org.pt
26,loures.trabalho@tribunais.org.pt
27,tvedras.familia@tribunais.org.pt
28,vngaia.trabalho@tribunais.org.pt
29,coimbra.trabalho@tribunais.org.pt
30,guimaraes.familia@tribunais.org.pt
31,lisboa.tm@tribunais.org.pt
32,estarreja.judicial@tribunais.org.pt
33,feira.familia.ministeriopublico@tribunais.org.pt
34,montvelho.ministeriopublico@tribunais.org.pt
35,ourem.ministeriopublico@tribunais.org.pt
36,braga.centralcriminal@tribunais.org.pt
37,faro.familia@tribunais.org.pt
38,leiria.taf@tribunais.org.pt
39,leiria.judicial@tribunais.org.pt
40,lousada.judicial@tribunais.org.pt
41,pdelgada.taf@tribunais.org.pt
42,pdelgada.centralcriminal@tribunais.org.pt
43,faro.familia.ministeriopublico@tribunais.org.pt
44,sesimbra.ministeriopublico@tribunais.org.pt
45,mogadouro.judicial@tribunais.org.pt
46,barreiro.instrucaocriminal@tribunais.org.pt
47,fafe.judicial@tribunais.org.pt
48,grandola.ministeriopublico@tribunais.org.pt
49,braga.trabalho@tribunais.org.pt
50,feira.familia@tribunais.org.pt
51,viseu.familia@tribunais.org.pt
52,tribunal.p.intelectual.ministeriopublico@tribunais.org.pt
53,pdelgada.instrucaocriminal@tribunais.org.pt
54,vcastelo.centralcriminal@tribunais.org.pt
55,stacgrac.ministeriopublico@tribunais.org.pt
56,lousa.judicial@tribunais.org.pt
57,sjpesqueira@tribunais.org.pt
58,lisboa.centralcriminal.mp@tribunais.org.pt
59,porto.diap@tribunais.org.pt
60,santarem.trabalho.ministeriopublico@tribunais.org
61,penafiel.diap@tribunais.org.pt
62,mafra.familia@tribunais.org.pt
63,golega@tribunais.org.pt
64,pregua.ministeriopublico@tribunais.org.pt
65,portalegre.trabalho.ministeriopublico@tribunais.org.pt
66,bombarral@tribunais.org.pt
67,cbranco.taf@tribunais.org.pt
68,braganca.centralcriminal@tribunais.org.pt
69,rmonsaraz.judicial@tribunais.org.pt
70,praiav.ministeriopublico@tribunais.org.pt
71,portimao.centralcivel@tribunais.org.pt
72,seia.ministeriopublico@tribunais.org.pt
73,figvinhos.judicial@tribunais.org.pt
74,lisboa.pequenacriminalidade@tribunais.org.pt
75,funchal.familia.ministeriopublico@tribunais.org.pt
76,valenca.judicial@tribunais.org.pt
77,crainha.ministeriopublico@tribunais.org.pt
78,riomaior.judicial@tribunais.org.pt
79,obairro.ministeriopublico@tribunais.org.pt
80,cbranco.familia.ministeriopublico@tribunais.org.pt
81,braga.familia.ministeriopublico@tribunais.org.pt
82,portomos.judicial@tribunais.org.pt
83,alenquer.ministeriopublico@tribunais.org.pt
84,pdelgada.familia@tribunais.org.pt
85,angrah.judicial@tribunais.org.pt
86,sintra.comercio@tribunais.org.pt
87,faro.diap@tribunais.org.pt
88,valongo.judicial@tribunais.org.pt
89,oleiros.judicial@tribunais.org.pt
90,guimaraes.tr@tribunais.org.pt
91,loule.ministeriopublico@tribunais.org.pt
92,braga.familia@tribunais.org.pt
93,funchal.diap@tribunais.org.pt
94,barreiro.trabalho.ministeriopublico@tribunais.org.pt
95,evora.centralcriminal@tribunais.org.pt
96,aveiro.centralcriminal@tribunais.org.pt
97,arganil.judicial@tribunais.org.pt
98,abrantes.judicial@tribunais.org.pt
99,leiria.trabalho.ministeriopublico@tribunais.org.pt
100,valpacos.judicial@tribunais.org.pt
101,oeiras.ministeriopublico@tribunais.org.pt
102,coimbra.tr@tribunais.org.pt
103,mealhada.judicial@tribunais.org.pt
104,redondo.ministeriopublico@tribunais.org.pt
105,sintra.diap@tribunais.org.pt
106,setubal.judicial@tribunais.org.pt
107,faro.trabalho.ministeriopublico@tribunais.org.pt
108,bna@tribunais.org.pt
